institution_name,source_id,candidate_title,candidate_url,normalized_item_date,date_source,date_confidence,content_role,development_candidate_type,saved_to_recent_items,rejected_reason
Şekerbank,REG-140,Şekerbank’ın “Yerinde Kredi” platformuna The Banker’dan ödül,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbankin-yerinde-kredi-platformuna-the-bankerdan-odul,2026-05-15,announcement_date,Yüksek,Yönetici Bilgilendirme,Yönetici Bilgilendirme,True,
Şekerbank,REG-140,Şekerbank'a yeni genel müdür yardımcısı,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbanka-yeni-genel-mudur-yardimcisi,2026-04-07,announcement_date,Yüksek,Bağımsız Gelişme,Basın Bülteni,False,Kesim tarihinden eski: 2026-04-07 < 2026-05-01
Şekerbank,REG-140,Şekerbank’ın dijital bankacılık uygulamalarına üç uluslararası ödül,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbankin-dijital-bankacilik-uygulamalarina-uc-uluslararasi-odul,2026-04-02,announcement_date,Yüksek,Yönetici Bilgilendirme,Yönetici Bilgilendirme,False,Kesim tarihinden eski: 2026-04-02 < 2026-05-01
Şekerbank,REG-140,Şekerbank’a kalkınma odaklı Avrupa Fonu EFSE’den 50 milyon euroluk yeni kaynak,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbanka-kalkinma-odakli-avrupa-fonu-efseden--50-milyon-euroluk-yeni-kaynak,2026-03-30,announcement_date,Yüksek,Bağımsız Gelişme,İş Birliği,False,Kesim tarihinden eski: 2026-03-30 < 2026-05-01
Şekerbank,REG-140,"Visa’nın kadın girişimcilere yönelik küresel destek programı She is Next, Şekerbank ve GİRVAK iş birliğiyle Anadolu’ya ulaşıyor…",https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/visanin-kadin-girisimcilere-yonelik-kuresel-destek-programi-she-is-next-sekerbank-ve-girvak-is-birligiyle-anadoluya-ulasiyor,2026-02-24,announcement_date,Yüksek,Yönetici Bilgilendirme,Yönetici Bilgilendirme,False,Kesim tarihinden eski: 2026-02-24 < 2026-05-01
Şekerbank,REG-140,Şekerbank’ın yeni platformu “Yerinde Kredi” ile çiftçilere anında finansman desteği,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbankin-yeni-platformu-yerinde-kredi-ile-ciftcilere-aninda-finansman-destegi,2026-02-12,announcement_date,Yüksek,Bağımsız Gelişme,İş Birliği,False,Kesim tarihinden eski: 2026-02-12 < 2026-05-01
Şekerbank,REG-140,"Şekerbank, CDP’de üç kategoride “A” skoruyla küresel sürdürülebilirlik liderleri arasında",https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2025/sekerbank-cdpde-uc-kategoride-a-skoruyla--kuresel-surdurulebilirlik-liderleri-arasinda,2025-12-26,announcement_date,Yüksek,Bağımsız Gelişme,Kampanya,False,Kesim tarihinden eski: 2025-12-26 < 2026-05-01
Şekerbank,REG-140,Şekerbank ve EBRD’den kadın KOBİ’lere ve genç girişimcilere finansman desteği,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2025/sekerbank-ve-ebrdden-kadin-kobilere-ve-genc-girisimcilere-finansman-destegi,2025-12-16,announcement_date,Yüksek,Bağımsız Gelişme,İş Birliği,False,Kesim tarihinden eski: 2025-12-16 < 2026-05-01
Fibabanka,REG-148,"Efsane KOBİ Kredisi – 1.500.000 TL’ye kadar %2,99’dan Başlayan Faiz Oranlarıyla",https://www.fibabanka.com.tr/kampanyalar/guncel-ozel-kampanyalar/efsane-kredi/efsane-kobi-kredi-kampanyasi,2026-06-30,campaign_end_date,Yüksek,Bağımsız Gelişme,Kampanya,False,Sadece kampanya bitiş tarihi bulundu; yeni gelişme kanıtı değil
Anadolubank,REG-153,Anadolubank ve İGE A.Ş. iş birliği ile ihracata destek,https://www.anadolubank.com.tr/hakkimizda/kurumsal-iletisim/basin-bultenleri-ve-roportajlar/2023/anadolubank-ve-ige-as-i-birligi-ile-ihracata-destek,,missing,Yok,Bağımsız Gelişme,Kampanya,False,Tarih yok; varsayılan kapıdan geçmedi
