institution_name,source_id,source_name,item_title,item_url,publication_date,event_date,effective_date,recency_basis_date,recency_basis_type,date_confidence,customer_segment,local_commercial_evidence,content_role,proposed_destination,accepted,rejection_reason,duplicate_status,notes
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Korona-Virus-Salginina-Karsi-Bankamizca-Alinan-Onlemler/22/327/0,2015-03-31,,,2015-03-31,publication_date,Düşük,Orta Ölçekli Ticari,şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Finansal-ve-Vergi-Konularinda-Otomatik-Bilgi-Degisimi-Anlasmasi-CRS-Raporlamasi-Hakkinda-Bilgilendirme/22/337/0,,,2015-03-31,2015-03-31,campaign_start_date,Düşük,Orta Ölçekli Ticari,Şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Kur-Korumali-Turk-Lirasi-Vadeli-Mevduat-T-Bankta/22/566/0,2021-12-20,,,2021-12-20,publication_date,Yüksek,Orta Ölçekli Ticari,şube,Bağımsız Gelişme,archive_or_context,False,Kesim tarihinden eski: 2021-12-20 < 2026-05-01,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Dolandiricilik-Eylemleri-ve-Korunma-Yontemleri-Hakkinda-Bilgilendirme/22/567/0,2022-01-05,,,2022-01-05,listing_or_asset_date,Orta,Orta Ölçekli Ticari,apı,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Yurt-Disinda-Yerlesik-Vatandaslar-Mevduat-Hesabi-YUVAM/22/569/0,2009-05-29,,,2009-05-29,publication_date,Yüksek,Orta Ölçekli Ticari,şube,Bağımsız Gelişme,archive_or_context,False,Kesim tarihinden eski: 2009-05-29 < 2026-05-01,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Donusum-Hesaplarina-Vade-Sonunda-Yenileme-Imkani-Getirilmistir/22/573/0,,,2015-03-31,2015-03-31,campaign_start_date,Yüksek,Orta Ölçekli Ticari,Şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/YUVAM-Hesaplarinda-Ilave-Getiri-Oranlari-Guncellendi-/22/575/0,,,2015-03-31,2015-03-31,campaign_start_date,Yüksek,Orta Ölçekli Ticari,Şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Gaziantep-ve-Adana-Subelerimizdeki-Bankacilik-Hizmetlerimiz-Hakkinda/22/577/0,,,2015-03-31,2015-03-31,campaign_start_date,Yüksek,Orta Ölçekli Ticari,Şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Tuzel-Musterilerimizin-Doviz-Pozisyon-Raporlamasi-Hakkinda-Bilgilendirme/22/580/0,,,2025-05-03,2025-05-03,campaign_start_date,Yüksek,Orta Ölçekli Ticari,apı,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
T-Bank,REG-C2-TBANK-HABERLER,T-Bank Haberler,T-Bank,https://www.tbank.com.tr/haberler/detay/Dolandiricilik-Faaliyetlerine-Karsi-Onemli-Bilgilendirme/22/587/0,,,2015-03-31,2015-03-31,campaign_start_date,Yüksek,Orta Ölçekli Ticari,şube,Kapsam Dışı,archive_or_context,False,legal announcement,not_checked,legal/security/current feed sample
