institution,source_id,source_name,monitoring_mode,collector_capability,attempted,skipped,success,latest_item_date,current_candidates,unchanged,error,health_status,action_required
Garanti BBVA,REG-001,Garanti BBVA İşim İçin / KOBİ bankacılığı,,static_scrape,True,False,True,2026-06-16T12:50:38.356435+00:00,,False,,Sağlıklı,
Garanti BBVA,REG-002,Garanti BBVA Kartlar & POS,,static_scrape,True,False,True,2026-06-16T12:50:38.586714+00:00,,False,,Sağlıklı,
Garanti BBVA,REG-003,Garanti BBVA Kurumsal communication / press releases,,static_scrape,True,False,True,2026-06-29T08:30:27.918836+00:00,,True,,Sağlıklı,
İş Bankası,REG-004,İş Bankası İş Ticari,,static_scrape,True,False,True,2026-06-16T12:50:39.377661+00:00,,False,,Sağlıklı,
İş Bankası,REG-005,İş Bankası Sanal POS,,static_scrape,True,False,True,2026-06-16T12:50:39.870396+00:00,,False,,Sağlıklı,
İş Bankası,REG-006,İş Bankası Duyurular,,static_scrape,True,False,True,2026-06-29T08:30:28.726906+00:00,,True,,Sağlıklı,
Akbank,REG-007,Akbank Kurumsal,,static_scrape,False,False,False,,,False,,Uyarı,
Akbank,REG-008,Akbank Cebe POS,,static_scrape,False,False,False,,,False,,Uyarı,
Akbank,REG-009,Akbank Dövizli POS,,static_scrape,False,False,False,,,False,,Uyarı,
Yapı Kredi,REG-010,Yapı Kredi KOBİ,,static_scrape,True,False,True,2026-06-16T12:50:42.957532+00:00,,False,,Sağlıklı,
Yapı Kredi,REG-011,Yapı Kredi KOBİ Kampanyaları,,static_scrape,True,False,True,2026-06-29T08:30:29.960288+00:00,,True,,Sağlıklı,
Yapı Kredi,REG-012,Yapı Kredi Basın Bültenleri,,static_scrape,True,False,True,2026-06-29T08:30:36.654532+00:00,,True,,Sağlıklı,
QNB Finansbank,REG-013,QNB Finansbank KOBİ / KOBİ sayfası,,static_scrape,True,False,True,2026-06-16T12:50:46.070437+00:00,,False,,Sağlıklı,
DenizBank,REG-014,DenizBank İşim İçin / KOBİ Banking,,static_scrape,False,False,False,,,False,,Uyarı,
DenizBank,REG-015,DenizBank Üye İşyeri ve POS İşlemleri,,static_scrape,False,False,False,,,False,,Uyarı,
TEB,REG-016,TEB Firmaniz Icin,,static_scrape,False,False,False,,,False,,Uyarı,
VakifBank,REG-017,VakifBank POS / Üye İşyeri Hizmetleri,,static_scrape,False,False,False,,,False,,Uyarı,
VakifBank,REG-018,VakifBank POS Kampanyaları,,static_scrape,False,False,False,,,False,,Uyarı,
Ziraat Bankasi,REG-019,Ziraat Bankasi Üye İşyeri ve POS Hizmetleri,,static_scrape,False,False,False,,,False,,Uyarı,
Bankkart POS,REG-020,Bankkart POS,,static_scrape,False,False,False,,,False,,Uyarı,
Halkbank,REG-021,Halkbank Üye İşyeri ve POS Hizmetleri,,static_scrape,False,False,False,,,False,,Uyarı,
Halkbank,REG-022,Halkbank Üye İşyeri Ucret ve Komisyonlari,,static_scrape,False,False,False,,,False,,Uyarı,
Kuveyt Türk,REG-023,Kuveyt Türk İşim İçin,,static_scrape,False,False,False,,,False,,Uyarı,
